Title,Link,Company,Date
Python developer,https://hh.ru/vacancy/41076503?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,2Relocate.com,2020-12-19 00:00:00
Junior Python Developer,https://rabota.by/vacancy/41030913?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Exadel,2020-12-16 00:00:00
Junior DevOps Engineer (Trainee/Students Lab),https://rabota.by/vacancy/40806612?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,iTechArt Group,2020-12-23 00:00:00
Senior Python developer,https://rabota.by/vacancy/41099029?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО СТДев,2020-12-27 00:00:00
Junior PHP Developer,https://rabota.by/vacancy/38364190?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,iTechArt Group,2020-12-24 00:00:00
Senior Python Developer,https://rabota.by/vacancy/41096786?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,iTechArt Group,2020-12-21 00:00:00
Middle Python Developer for Imunify,https://hh.ru/vacancy/41058075?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Cloud Linux,2020-12-26 00:00:00
Python (NLP) developer,https://rabota.by/vacancy/40991765?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Andersen,2020-12-14 00:00:00
Python Developer,https://rabota.by/vacancy/40928478?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Кернеликс / Kernelics,2020-12-10 00:00:00
Программист Python Odoo/Django,https://rabota.by/vacancy/40921775?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Мильжикс,2020-12-10 00:00:00
Python Middle Developer,https://rabota.by/vacancy/37468015?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Itransition,2020-12-11 00:00:00
C++ Developer,https://rabota.by/vacancy/41067960?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО СК хайникс мемори солюшнс Восточная Европа,2020-12-18 00:00:00
Engineer-programmer (Python/DevOps),https://rabota.by/vacancy/38600773?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Лайфтех,2020-12-11 00:00:00
Python Developer,https://rabota.by/vacancy/40958501?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Andersen,2020-12-11 00:00:00
Python Developer,https://hh.ru/vacancy/40959235?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,АО Аркадия,2020-12-11 00:00:00
Python developer,https://rabota.by/vacancy/40520323?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Oxagile,2020-12-18 00:00:00
Python Developer,https://rabota.by/vacancy/40824238?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,iTechArt Group,2020-12-07 00:00:00
C/C++/Python Engineer,https://rabota.by/vacancy/40870667?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Oxagile,2020-12-08 00:00:00
Full stack developer (Python / Django / Vue),https://hh.ru/vacancy/37706581?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,EXANTE,2020-12-04 00:00:00
Senior Python Django developer,https://hh.ru/vacancy/39902901?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,EXANTE,2020-12-04 00:00:00
Python/Django developer (middle/senior),https://rabota.by/vacancy/40826491?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ЗАО Сервис Деск,2020-12-07 00:00:00
Разработчик Python,https://rabota.by/vacancy/40762143?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО Бэлл Интегратор,2020-12-02 00:00:00
Python ML Developer,https://rabota.by/vacancy/40826367?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,IBA Group,2020-12-07 00:00:00
Python Developer (AI/ML),https://rabota.by/vacancy/40766504?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Qulix Systems,2020-12-02 00:00:00
Python Developer (Technical Support),https://rabota.by/vacancy/40726659?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,RocketData,2020-12-01 00:00:00
Python developer (Senior),https://rabota.by/vacancy/40806490?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,ООО ЛАЦИТ - Лаборатория цифровых технологий,2020-12-04 00:00:00
Junior Python Developer,https://rabota.by/vacancy/40738498?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,УП Руна Системс,2020-12-01 00:00:00
Full-Stack Developer (Java + JavaScript),https://rabota.by/vacancy/41004792?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,FORTE Group,2020-12-15 00:00:00
Full Stack Developer (Python / JavaScript),https://hh.ru/vacancy/40724462?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,АО Аркадия,2020-12-01 00:00:00
Senior Python developer,https://rabota.by/vacancy/40734881?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Andersen,2020-12-01 00:00:00
Python Developer,https://rabota.by/vacancy/40174067?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Belitsoft,2020-12-02 00:00:00
"Java Backend Developer (fintech, blockchain)",https://hh.ru/vacancy/40782135?query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,Nitka Technologies,2020-12-03 00:00:00
